Model,Accuracy,Precision,Recall,F1-score
TF-IDF + Logistic Regression,0.950945815966656,0.9419366259514959,0.9493309545049063,0.945619335347432
Qwen (LLM Only),0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667
Qwen + RAG,0.8,0.7960526315789473,0.8066666666666666,0.8013245033112583
